product_id,category,price,old_name,base_price,user_id,region,priority,status,amount
P000517,Electronics,77.43,Work,77.43,U02281,South,High,Completed,744.02
P003016,Electronics,43.6,Federal,43.6,U01276,West,Medium,Cancelled,1294.82
P003021,Electronics,110.15,Prove,110.15,U02938,West,Medium,Cancelled,392.98
P005438,Electronics,65.09,Professor,65.09,U01534,South,High,Completed,542.6
P006460,Books,68.15,Believe,68.15,U02114,West,Low,Pending,1225.38
P000075,Beauty,43.3,Training,43.3,,West,Medium,Cancelled,326.57
P007993,Electronics,131.13,Position,131.13,U00291,South,Low,Completed,1635.8
P007511,Electronics,134.91,Organization,134.91,U00029,East,Low,Completed,351.66
P004323,Groceries,118.99,However,118.99,U00958,East,Medium,Completed,385.92
P001194,Beauty,79.97,Crime,79.97,U01762,East,High,Cancelled,647.82
P007628,Books,64.43,Town,64.43,U01585,North,High,Pending,2027.62
P007466,Groceries,40.27,Coach,40.27,U02005,South,High,Pending,641.83
P007049,Home & Kitchen,108.2,Establish,108.2,U02840,South,High,Completed,1110.61
P004758,Home & Kitchen,76.24,So,76.24,U00524,South,Low,Refunded,1259.13
P001920,Electronics,24.52,Stop,24.52,U00551,North,Medium,Completed,1694.58
P001473,Groceries,26.96,Address,26.96,U02175,North,Medium,Completed,1515.26
P000374,Beauty,74.64,System,74.64,U01875,North,Medium,Completed,1115.27
P004498,Sports,95.61,Lay,95.61,U01383,South,Medium,Completed,167.58
P003204,Clothing,56.01,Wrong,56.01,,South,High,Completed,1431.45
P002867,Sports,30.25,Our,30.25,U00540,West,High,Refunded,567.68
P003611,Groceries,17.53,Score,17.53,U01268,North,Low,Refunded,1085.28
P004370,Home & Kitchen,200.58,List,200.58,U00102,South,Low,Cancelled,1470.17
P004208,Clothing,102.41,Both,102.41,U01332,South,Medium,Completed,673.64
P000280,Books,13.95,Someone,13.95,U00390,East,Medium,Completed,598.36
P002865,Sports,67.69,High,67.69,U01441,West,Medium,Refunded,611.22
P003002,Groceries,20.13,National,20.13,U02989,East,Low,Completed,506.32
P001099,Books,162.99,Make,162.99,U01164,West,High,Completed,1001.86
P006875,Books,109.34,Enough,109.34,U00798,East,Low,Completed,816.39
P003030,Beauty,152.99,Morning,152.99,U02365,West,Medium,Refunded,348.89
P004732,Clothing,249.18,Child,249.18,U00060,South,Medium,Pending,975.16
P003445,Books,32.8,Whatever,32.8,U02006,East,High,Completed,805.74
P004683,Beauty,81.52,Risk,81.52,U02505,North,Low,Completed,1746.72
P001342,Home & Kitchen,10.59,Company,10.59,U01664,West,Medium,Completed,566.96
P007630,Groceries,19.14,Federal,19.14,U00669,North,Low,Completed,374.64
P000439,Sports,61.69,Today,61.69,U00165,North,Low,Completed,697.54
P001289,Books,38.23,Source,38.23,U02778,East,High,Completed,552.68
P002982,Groceries,47.0,Response,47.0,U01750,South,Medium,Cancelled,541.13
P002418,Groceries,24.66,Fear,24.66,U01640,North,High,Pending,775.67
P007824,Sports,91.66,Your,91.66,U00450,South,Low,Completed,719.62
P003304,Sports,204.94,Item,204.94,U02197,South,High,Completed,569.73
P006440,Books,32.59,Official,32.59,U00753,North,Low,Completed,432.37
P000998,Sports,138.37,Statement,138.37,U02336,South,Medium,Completed,995.03
P004529,Electronics,60.02,Build,60.02,U02100,East,Low,Completed,1396.21
P005555,Home & Kitchen,76.18,Peace,76.18,U02724,West,Medium,Completed,742.13
P006030,Books,33.93,Like,33.93,U00204,North,Medium,Completed,575.84
P000185,Beauty,17.52,I,17.52,U02332,East,Medium,Completed,318.99
P004047,Electronics,92.92,Dark,92.92,U01403,East,Medium,Refunded,1014.05
P002466,Books,174.7,Strong,174.7,U01375,West,Medium,Pending,2208.0
P007016,Clothing,15.02,Herself,15.02,U00852,North,Low,Completed,2467.05
P000411,Sports,158.23,Step,158.23,U01164,North,Medium,Completed,819.35
P002808,Clothing,86.75,Play,86.75,U01789,North,High,Completed,1472.71
P000414,Clothing,64.77,Serious,64.77,U00702,East,High,Completed,336.3
P004774,Beauty,187.62,Side,187.62,U02471,South,Low,Completed,551.52
P005335,Books,65.16,Ten,65.16,U02861,West,Medium,Completed,688.15
P005996,Home & Kitchen,47.21,Need,47.21,U00340,South,Low,Completed,739.6
P006028,Clothing,102.09,Middle,102.09,U01189,North,Low,Pending,1342.22
P003894,Clothing,49.41,Measure,49.41,U01341,West,Medium,Pending,2311.35
P003814,Clothing,77.65,Remain,77.65,U02643,East,High,Pending,832.64
P004569,Clothing,26.22,Much,26.22,U01891,East,Medium,Cancelled,1079.27
P003674,Home & Kitchen,45.92,Authority,45.92,U01425,East,High,Completed,409.57
P002897,Electronics,19.2,Everybody,19.2,U02958,South,Medium,Completed,2505.77
P002911,Groceries,49.84,Tonight,49.84,U02144,East,Medium,Cancelled,1995.54
P001249,Home & Kitchen,62.89,Million,62.89,U00103,South,Medium,Completed,428.58
P003165,Books,155.48,Throw,155.48,U01117,West,High,Completed,461.59
P002588,Home & Kitchen,156.76,Because,156.76,U02182,North,High,Completed,807.18
P006761,Home & Kitchen,138.72,Lead,138.72,U02126,West,Low,Completed,1245.11
P000945,Clothing,96.81,Relate,96.81,U02533,West,High,Pending,699.39
P006715,Sports,114.47,Term,114.47,U02363,South,High,Pending,1273.62
P005702,Electronics,25.58,Year,25.58,U02717,North,Low,Completed,969.68
P000800,Electronics,42.79,Join,42.79,U01172,East,Medium,Completed,140.94
P001604,Groceries,18.03,Together,18.03,U01786,South,Medium,Completed,670.85
P007420,Beauty,245.93,They,245.93,U00354,North,High,Refunded,1878.9
P003982,Clothing,41.46,Occur,41.46,U00260,West,High,Completed,1268.75
P003305,Sports,21.3,More,21.3,U02479,North,Medium,Pending,617.74
P001627,Books,37.74,Believe,37.74,U02050,North,High,Completed,986.19
P001675,Clothing,107.57,Especially,107.57,U01067,North,Medium,Completed,834.03
P005387,Home & Kitchen,120.9,Can,120.9,U01158,West,High,Completed,668.98
P006745,Groceries,96.83,Candidate,96.83,,South,Low,Completed,754.29
P004944,Groceries,49.88,Political,49.88,U01592,South,Low,Completed,1378.8
P002656,Home & Kitchen,129.14,Bring,129.14,U01209,North,High,Completed,907.67
P007955,Groceries,77.86,Successful,77.86,U01780,East,Low,Cancelled,1024.9
P004321,Books,43.18,Eight,43.18,U01824,West,Low,Completed,1378.61
P004173,Sports,75.9,Explain,75.9,U02492,East,Low,Cancelled,1182.86
P000723,Beauty,74.71,Service,74.71,U00713,North,Medium,Cancelled,1334.79
P004395,Clothing,73.81,Specific,73.81,U00538,South,High,Completed,225.01
P004709,Sports,148.58,Figure,148.58,U01118,West,High,Completed,90.14
P000693,Electronics,47.12,We,47.12,U00936,North,Low,Cancelled,1342.98
P003427,Clothing,112.81,Oil,112.81,U01309,South,Medium,Pending,970.44
P004369,Sports,98.36,Back,98.36,U00765,North,Medium,Completed,1537.64
P003549,Clothing,124.19,Several,124.19,U01902,South,Low,Completed,1331.22
P001701,Beauty,35.65,Tonight,35.65,U01771,East,High,Completed,475.73
P002812,Home & Kitchen,112.56,Finally,112.56,U02893,South,Low,Completed,752.02
P000402,Electronics,185.84,Evidence,185.84,U00824,South,Low,Pending,1101.2
P004358,Beauty,190.0,Chair,190.0,U00131,North,High,Cancelled,2199.01
P001018,Electronics,127.62,Scene,127.62,U00382,West,High,Completed,775.49
P005173,Sports,133.04,Authority,133.04,U00235,South,Medium,Completed,543.51
P000347,Beauty,255.12,Arm,255.12,U01922,South,Medium,Completed,1183.95
P007921,Home & Kitchen,142.13,Require,142.13,U02129,North,Medium,Pending,1440.73
P006474,Beauty,44.22,Majority,44.22,U02978,South,High,Completed,417.17
P005461,Beauty,75.26,Picture,75.26,U02297,South,Medium,Completed,921.91
P004024,Sports,69.05,Actually,69.05,U02956,North,Medium,Completed,514.7
P004433,Books,44.8,Rock,44.8,U01094,East,Medium,Pending,462.08
P001934,Books,22.31,Tax,22.31,U00860,West,Low,Completed,2476.31
P001245,Groceries,61.21,Build,61.21,U01172,West,Low,Completed,1021.07
P000970,Books,74.35,Court,74.35,U02100,South,Low,Completed,987.19
P000319,Beauty,44.36,Family,44.36,U02374,West,High,Cancelled,2283.58
P000283,Books,69.23,Deep,69.23,U01527,South,High,Completed,806.48
P005607,Books,254.24,Ability,254.24,,East,High,Pending,376.35
P007534,Home & Kitchen,37.08,Study,37.08,U01780,West,High,Completed,824.34
P006786,Home & Kitchen,42.5,If,42.5,U01329,North,Low,Completed,572.44
P003774,Electronics,109.71,Most,109.71,U01187,North,Medium,Completed,1299.42
P007444,Sports,5.93,Technology,5.93,U00934,South,Medium,Completed,544.32
P000370,Books,73.13,Two,73.13,U02574,North,High,Pending,803.65
P002835,Electronics,63.07,Learn,63.07,U02455,East,Medium,Completed,127.01
P007908,Sports,22.05,Drop,22.05,U01316,South,Low,Completed,325.24
P003921,Clothing,125.74,Suggest,125.74,U00797,North,Medium,Completed,2232.83
P006286,Clothing,77.81,Carry,77.81,U00758,South,Medium,Completed,1425.7
P007627,Books,82.85,Where,82.85,U02817,North,Low,Cancelled,1294.46
P004914,Electronics,16.66,Wide,16.66,U01566,North,Low,Completed,307.18
P002229,Beauty,44.56,Modern,44.56,U02390,North,High,Pending,468.11
P007540,Home & Kitchen,96.39,Receive,96.39,U01562,South,Low,Completed,1267.58
P003683,Sports,49.56,Space,49.56,U00014,South,Low,Completed,1764.72
P006630,Home & Kitchen,93.26,Dog,93.26,U01223,North,High,Completed,812.87
P001494,Clothing,23.86,Just,23.86,U01256,South,Medium,Completed,148.7
P004326,Beauty,22.43,Stock,22.43,U02318,East,Low,Completed,1941.8
P002903,Groceries,22.49,Population,22.49,U00107,South,Medium,Completed,907.2
P002680,Groceries,44.75,Effort,44.75,U02765,East,Medium,Completed,862.69
P001748,Clothing,73.16,Responsibility,73.16,U02063,North,Low,Completed,332.21
P003256,Home & Kitchen,123.76,Past,123.76,U00809,West,High,Completed,460.15
P007835,Beauty,50.04,Rule,50.04,U01346,East,High,Completed,676.7
P001961,Beauty,74.44,Economy,74.44,U00718,West,Low,Completed,1347.18
P005100,Clothing,71.38,Everyone,71.38,U00235,East,Low,Completed,274.39
P007389,Clothing,164.32,Amount,164.32,U00997,West,Medium,Completed,990.76
P007538,Sports,56.26,Court,56.26,,North,High,Completed,612.52
P000568,Home & Kitchen,99.42,Brother,99.42,U00352,East,Low,Completed,1099.69
P002421,Electronics,111.67,Stage,111.67,U00120,South,Low,Pending,644.85
P004673,Sports,50.35,Leg,50.35,U02511,East,High,Completed,642.43
P001585,Home & Kitchen,59.04,Administration,59.04,U01883,North,Low,Completed,606.05
P000849,Electronics,36.49,Serve,36.49,U02187,South,High,Completed,342.31
P005242,Books,20.6,Will,20.6,U00684,North,Low,Pending,1091.55
P000438,Beauty,157.22,Be,157.22,U00591,South,High,Completed,757.9
P004507,Electronics,40.42,Laugh,40.42,U01286,East,Medium,Completed,1107.57
P006276,Sports,53.04,Staff,53.04,U02206,West,Low,Completed,420.95
P001868,Electronics,16.6,Religious,16.6,U02428,East,Medium,Completed,623.31
P001250,Books,91.32,Back,91.32,U00828,West,Low,Completed,433.45
P006590,Groceries,14.19,School,14.19,U02517,South,Medium,Completed,858.58
P005687,Books,101.52,Along,101.52,U00010,South,Medium,Pending,1820.75
P003986,Clothing,125.07,Along,125.07,U00413,West,Medium,Completed,144.75
P005705,Clothing,104.77,Ground,104.77,U02118,West,Low,Pending,107.25
P002216,Clothing,28.38,Account,28.38,U00754,North,Low,Completed,839.62
P001659,Home & Kitchen,26.49,Bar,26.49,U01859,West,Low,Completed,367.0
P006589,Sports,135.8,Rise,135.8,U01918,East,Low,Completed,752.34
P007103,Books,22.55,Skin,22.55,U02345,West,Medium,Completed,318.98
P000838,Beauty,45.84,Majority,45.84,U01258,West,Medium,Completed,1478.95
P002750,Books,35.13,Yet,35.13,U01427,South,Low,Cancelled,397.11
P005311,Clothing,23.73,Coach,23.73,U02861,West,Medium,Completed,1992.32
P005151,Home & Kitchen,72.43,Fund,72.43,U01401,North,High,Completed,1399.6
P002727,Books,131.02,Something,131.02,U00555,South,High,Completed,740.2
P002963,Sports,28.81,Attorney,28.81,U00820,North,Medium,Completed,736.04
P007589,Clothing,39.37,Ability,39.37,U02978,West,High,Completed,1017.39
P000200,Groceries,151.24,Social,151.24,U01795,West,Low,Completed,1156.77
P006261,Groceries,62.03,Couple,62.03,U01212,East,High,Pending,1267.38
P006887,Groceries,110.4,Teach,110.4,U00576,West,Medium,Completed,641.17
P006947,Beauty,139.25,Financial,139.25,U01243,West,High,Cancelled,137.32
P005154,Home & Kitchen,120.29,Whole,120.29,U01123,West,Medium,Completed,375.98
P007667,Electronics,77.85,Population,77.85,U00772,North,High,Completed,912.82
P000895,Home & Kitchen,159.26,Attack,159.26,U00963,North,Medium,Completed,612.77
P003666,Home & Kitchen,37.47,Land,37.47,U02702,East,Medium,Completed,1138.41
P006194,Beauty,49.57,Sit,49.57,U02254,South,High,Pending,736.19
P007183,Clothing,50.76,Very,50.76,U01529,East,Low,Pending,632.7
P004167,Home & Kitchen,66.52,Physical,66.52,U01815,East,High,Cancelled,319.14
P001499,Clothing,19.73,Loss,19.73,U00841,North,High,Completed,1568.7
P006898,Sports,79.63,Radio,79.63,U00513,East,Medium,Refunded,1020.81
P005698,Books,34.29,College,34.29,U02128,South,Low,Completed,861.87
P002921,Sports,153.83,Through,153.83,U01016,South,Medium,Pending,514.72
P002138,Books,116.9,Example,116.9,U02247,West,Low,Completed,1775.22
P004970,Home & Kitchen,24.88,Imagine,24.88,U00097,North,Low,Completed,575.03
P007792,Books,113.75,Authority,113.75,U02555,East,Medium,Cancelled,1233.92
P001830,Clothing,113.43,Republican,113.43,,West,High,Completed,1420.14
P002260,Clothing,104.79,Security,104.79,U01312,South,Medium,Completed,1182.9
P006654,Clothing,35.47,International,35.47,U01389,West,Low,Completed,694.13
P003941,Groceries,90.11,Worry,90.11,U00614,North,Medium,Refunded,697.77
P003025,Groceries,88.37,Process,88.37,U02709,South,High,Pending,617.8
P004797,Books,111.92,Case,111.92,U02139,East,Medium,Completed,742.13
P007801,Electronics,80.12,Pass,80.12,U01288,North,Low,Pending,543.5
P005233,Beauty,37.13,Economy,37.13,,West,High,Completed,1320.78
P006007,Beauty,16.39,Enjoy,16.39,U01154,South,High,Completed,1339.61
P001669,Clothing,16.86,Character,16.86,U01929,East,High,Refunded,1314.26
P002050,Electronics,59.67,Group,59.67,U00039,North,Medium,Pending,361.25
P007507,Beauty,81.59,Couple,81.59,U02129,South,Medium,Completed,823.44
P004023,Home & Kitchen,27.12,Its,27.12,U00429,South,Low,Completed,1158.89
P004078,Electronics,70.1,Old,70.1,U01831,West,High,Completed,930.03
P004042,Electronics,127.77,Why,127.77,U01731,North,Medium,Completed,802.37
P001051,Sports,164.16,Blue,164.16,U01025,West,Medium,Completed,1152.18
P006038,Beauty,38.86,Common,38.86,U02438,South,Low,Completed,1024.38
P001771,Clothing,24.88,Continue,24.88,U02869,West,Medium,Completed,991.43
P001683,Home & Kitchen,55.91,Research,55.91,,West,Medium,Refunded,952.78
P000691,Groceries,23.68,Business,23.68,U00228,West,High,Completed,1224.26
P002825,Books,69.98,Road,69.98,U00416,West,Low,Completed,1155.44
P002723,Home & Kitchen,70.59,Body,70.59,U01206,East,High,Completed,368.33
P007710,Groceries,90.64,Positive,90.64,U01236,West,Medium,Pending,1189.37
P000201,Books,56.93,Example,56.93,U02494,South,High,Completed,989.07
P005820,Beauty,76.54,Would,76.54,U01815,South,Low,Pending,205.76
P003629,Electronics,126.4,Nature,126.4,U02436,North,High,Completed,801.21
P000101,Home & Kitchen,48.77,Religious,48.77,U02724,West,High,Pending,590.63
P003460,Groceries,20.43,Key,20.43,U02028,West,High,Completed,812.5
P001950,Sports,19.91,Success,19.91,U00046,South,Medium,Cancelled,814.62
P001823,Sports,192.52,Pattern,192.52,,South,Medium,Completed,862.94
P002330,Clothing,38.74,Organization,38.74,U00094,West,Medium,Completed,992.78
P002177,Electronics,47.14,Become,47.14,U01472,South,Low,Completed,306.25
P005252,Beauty,101.93,Small,101.93,U00333,North,High,Completed,594.55
P001922,Groceries,129.63,Either,129.63,U01746,West,Medium,Completed,634.2
P003466,Books,29.15,Although,29.15,U02813,West,Low,Completed,330.4
P003288,Books,46.28,Responsibility,46.28,U02534,West,High,Completed,523.67
P007959,Groceries,75.0,Now,75.0,U00340,North,High,Refunded,1017.6
P003006,Beauty,21.6,Color,21.6,U00646,West,Low,Completed,1128.53
P001933,Beauty,58.37,Direction,58.37,U00612,West,Low,Completed,512.24
P000859,Groceries,95.77,Six,95.77,,North,High,Refunded,1481.58
P007566,Home & Kitchen,14.92,Citizen,14.92,U02354,East,Medium,Cancelled,994.79
P000821,Electronics,155.35,Start,155.35,U02795,North,Medium,Cancelled,1283.49
P007685,Books,67.52,Participant,67.52,U01231,South,Low,Pending,284.22
P000329,Electronics,192.56,Part,192.56,U02067,South,Low,Completed,450.33
P000049,Books,221.88,Source,221.88,U00222,North,Low,Completed,1079.58
P004282,Groceries,111.84,Both,111.84,U00021,North,Low,Completed,849.27
P001524,Home & Kitchen,10.43,Fear,10.43,U00920,North,Low,Completed,1966.86
P000789,Home & Kitchen,58.5,Decide,58.5,U02141,West,High,Completed,2273.12
P002446,Home & Kitchen,161.28,Beat,161.28,U01117,East,Low,Completed,831.52
P003041,Electronics,32.64,Week,32.64,U00814,East,High,Completed,895.96
P002419,Home & Kitchen,50.82,Impact,50.82,U02509,North,Medium,Completed,835.68
P007557,Books,123.93,Admit,123.93,U00094,West,Low,Refunded,695.55
P006587,Clothing,54.52,Natural,54.52,U00945,East,Low,Pending,245.99
P000273,Electronics,91.55,News,91.55,U02009,West,Low,Cancelled,329.03
P007125,Groceries,48.9,Important,48.9,U01088,East,High,Completed,1054.72
P001182,Electronics,12.28,Follow,12.28,U02994,West,Low,Pending,757.34
P005568,Books,71.77,Year,71.77,U00355,East,Low,Refunded,777.37
P003297,Electronics,75.77,Let,75.77,U01284,North,Medium,Pending,1914.41
P001318,Books,112.73,Right,112.73,U02725,East,Medium,Completed,1023.99
P005488,Clothing,103.77,South,103.77,U01521,North,Medium,Pending,790.46
P005935,Sports,114.62,Economy,114.62,U00549,North,Medium,Completed,831.13
P003182,Books,149.11,Him,149.11,U00232,West,Medium,Completed,1052.22
P005407,Clothing,111.2,When,111.2,U01669,South,Low,Completed,1342.15
P002176,Home & Kitchen,31.85,Pick,31.85,U00663,South,Medium,Pending,184.4
P003293,Beauty,52.97,School,52.97,U01281,West,Medium,Completed,75.33
P007165,Beauty,155.57,Recent,155.57,U01087,West,Low,Completed,3105.92
P000404,Sports,30.96,Step,30.96,U00532,North,Low,Completed,179.44
P007157,Groceries,190.7,Before,190.7,U01172,East,Medium,Pending,1884.5
P007535,Electronics,181.63,Pass,181.63,U01652,West,Low,Refunded,376.81
P004771,Books,85.8,Throw,85.8,U03000,East,Low,Pending,576.53
P002356,Beauty,56.44,He,56.44,U02556,North,High,Completed,300.81
P000614,Groceries,72.66,Talk,72.66,U00808,West,Low,Completed,2169.47
P004626,Clothing,27.64,Face,27.64,,West,Low,Completed,833.78
P005591,Books,118.79,Positive,118.79,U02212,West,High,Pending,1030.86
P006709,Groceries,19.03,Born,19.03,U00541,East,Medium,Pending,1910.59
P005742,Home & Kitchen,57.77,Though,57.77,U02998,East,High,Completed,1279.07
P003376,Beauty,123.31,Tell,123.31,,South,High,Completed,1590.15
P000996,Electronics,107.98,Rate,107.98,U00164,East,Low,Completed,2721.92
P000095,Sports,65.17,They,65.17,U00474,West,High,Completed,460.08
P003093,Books,66.92,Training,66.92,U01658,East,Low,Completed,905.71
P001420,Sports,68.14,Institution,68.14,U00188,South,High,Completed,675.87
P006086,Sports,63.96,Security,63.96,U01412,South,Low,Completed,246.24
P000795,Home & Kitchen,60.46,Popular,60.46,U00828,South,High,Completed,566.26
P000765,Clothing,84.92,Different,84.92,U01023,North,Medium,Completed,356.48
P004213,Groceries,51.49,Light,51.49,U01041,East,High,Refunded,781.62
P005239,Beauty,55.68,Far,55.68,U00276,East,High,Completed,548.6
P001132,Sports,29.51,Grow,29.51,U00501,East,Medium,Completed,1800.81
P005892,Beauty,137.57,Choose,137.57,,North,Low,Completed,931.64
P003441,Clothing,168.83,Full,168.83,U02628,North,Medium,Completed,1229.56
P003876,Clothing,70.86,Remain,70.86,U01898,West,High,Completed,677.06
P004747,Groceries,158.47,Join,158.47,U02504,West,Medium,Completed,1333.27
P003009,Home & Kitchen,202.8,Security,202.8,U02562,East,Medium,Completed,682.24
P000506,Clothing,39.89,Score,39.89,U00015,North,Medium,Completed,1508.72
P003783,Electronics,49.93,Piece,49.93,U02507,West,Medium,Refunded,540.62
P002634,Home & Kitchen,174.07,Safe,174.07,U01079,West,High,Completed,745.38
P002269,Groceries,103.93,Suddenly,103.93,U00012,South,Low,Completed,1064.24
P002500,Home & Kitchen,98.12,Story,98.12,U00516,West,High,Completed,634.51
P006985,Books,82.7,Recently,82.7,U02497,North,Medium,Cancelled,1264.59
P003831,Books,45.72,Down,45.72,U00935,South,Medium,Completed,1713.55
P000020,Sports,49.86,Better,49.86,U02941,East,Low,Completed,716.65
P006787,Clothing,44.59,Kid,44.59,U02479,North,High,Completed,835.2
P000927,Books,31.47,Thing,31.47,U01209,South,High,Completed,1634.91
P003931,Clothing,161.88,Job,161.88,U01256,North,High,Cancelled,449.31
P007843,Electronics,35.67,Group,35.67,U00819,South,High,Completed,598.09
P006354,Sports,6.47,Drive,6.47,U02657,South,Low,Pending,710.34
P001671,Sports,54.92,Main,54.92,U01561,East,Medium,Completed,809.35
P003834,Home & Kitchen,53.13,Second,53.13,U02719,North,Low,Cancelled,389.63
P007158,Sports,114.46,Father,114.46,U01823,South,High,Refunded,1437.88
P007045,Groceries,95.07,Style,95.07,U02377,West,Low,Completed,1008.75
P007662,Home & Kitchen,63.13,Top,63.13,,North,High,Completed,768.29
P001369,Books,22.35,Simple,22.35,U01830,East,Low,Completed,851.81
P007385,Electronics,114.08,Sign,114.08,U01124,North,High,Completed,1222.19
P001408,Groceries,278.18,Full,278.18,U00330,West,Medium,Completed,852.71
P006822,Beauty,72.22,Send,72.22,,East,High,Completed,1411.3
P006503,Beauty,89.48,Wall,89.48,U02671,North,High,Completed,786.81
P002337,Sports,99.53,Other,99.53,U01594,North,High,Pending,548.13
P000228,Clothing,142.18,Decide,142.18,U00952,West,High,Completed,788.14
P002469,Sports,84.71,Care,84.71,U02720,West,Low,Completed,339.97
P000752,Beauty,166.53,Fly,166.53,U01326,North,Low,Completed,1025.58
P003380,Sports,35.6,Child,35.6,U02723,South,High,Completed,475.87
P007613,Beauty,82.62,Summer,82.62,U00874,West,High,Completed,777.4
P004442,Groceries,46.0,Wife,46.0,U00760,West,High,Completed,367.85
P001629,Clothing,200.67,Billion,200.67,,North,Medium,Completed,641.59
P000686,Clothing,100.94,Stop,100.94,U02874,North,Low,Completed,1078.42
P007785,Books,200.74,Into,200.74,U01587,West,High,Completed,705.35
P005731,Books,77.26,Now,77.26,U01174,West,High,Completed,2066.71
P003604,Home & Kitchen,230.71,Pick,230.71,U02377,South,High,Completed,1065.42
P007768,Home & Kitchen,119.51,Each,119.51,U01252,South,High,Completed,1717.41
P007769,Groceries,32.01,Possible,32.01,U02085,West,High,Completed,496.06
P001177,Groceries,84.49,Give,84.49,U00640,South,Medium,Completed,1476.64
P003833,Sports,57.54,Toward,57.54,U00072,East,Low,Cancelled,920.53
P006458,Clothing,28.1,Minute,28.1,U02938,North,Medium,Completed,623.76
P003985,Sports,98.04,Need,98.04,U02322,South,High,Completed,752.87
P001908,Books,97.7,Can,97.7,,East,High,Completed,494.52
P002509,Electronics,25.41,Always,25.41,U02130,North,Low,Completed,334.9
P002252,Books,81.52,Will,81.52,U00461,West,Low,Refunded,390.04
P002872,Books,52.14,Listen,52.14,U00433,East,High,Completed,1470.58
P002675,Books,20.54,North,20.54,U01741,North,Low,Completed,1152.77
P000685,Groceries,45.98,Shoulder,45.98,U02729,South,Low,Completed,938.48
P004193,Sports,103.33,Employee,103.33,U02846,South,High,Completed,370.47
P003447,Groceries,104.44,Behind,104.44,U01184,South,Medium,Cancelled,640.09
P007576,Clothing,24.52,Step,24.52,U00982,North,High,Cancelled,392.77
P002394,Home & Kitchen,28.84,Assume,28.84,U00791,East,Low,Completed,862.4
P002312,Books,76.57,Eat,76.57,U01888,East,Medium,Refunded,1645.76
P007684,Beauty,71.13,Food,71.13,,South,Medium,Completed,864.25
P003836,Beauty,35.19,Sure,35.19,U00604,West,High,Pending,569.5
P002065,Home & Kitchen,82.27,Wind,82.27,U02697,North,High,Completed,697.99
P003707,Clothing,86.05,Could,86.05,,South,High,Completed,1709.78
P005055,Electronics,36.51,Business,36.51,U00013,East,Low,Pending,415.15
