ticket_id,agent_id,status,resolution_time,category
TKT00112,A040,Open,0h 37m 0s,Billing
TKT00113,A040,Resolved,0h 19m 45s,Account
TKT00114,A041,Resolved,0h 30m 0s,General
TKT00115,A041,Resolved,0h 25m 0s,Technical
TKT00116,A041,Resolved,0h 20m 0s,Billing
TKT00117,A042,Resolved,0h 35m 0s,Account
TKT00118,A042,Resolved,0h 22m 0s,Delivery
TKT00119,A042,Resolved,0h 28m 0s,Returns
,A001,Resolved,0h 20m 0s,Billing
TKT99990,,Resolved,0h 25m 0s,Technical
TKT99991,A002,Resolved,,General
TKT99992,A003,Resolved,BADTIME,General
